Ульяновск|перекресток ул. Жуковского и ул. 19-го Партсъезда|||ул. XIX Партсъезда, ул. Победы, 1 пер. Советский, 2 пер. Советский, 3 пер. Советский, пер. 9 Января
Ульяновск|перекресток ул. Жуковского и ул. 8-го Марта|||ул. 8 Марта, 1 пер. Советский, 2 пер. Советский, 1 пер. Победы
Ульяновск|перекресток ул. Жуковского и ул. Волгоградская (напротив дома 6)||2|ул. Волгограддская, ул. Победы, ул. Ломоносова, 1 пер. Советский, 2 пер. Советский, 3 пер. Советский, 1 пер. Горького
Ульяновск|перекресток ул. Жуковского и ул. Лизы Чайкиной|||ул. Лизы Чайкиной, 1 пер. Советский, 2 пер. Советский, 1 пер. Молодежный, 2 пер. Победы
Ульяновск|перекресток ул. Жуковского и ул. Московская (напротив дома 5а)||5|ул. Московская, ул. Победы, ул. Котовского, ул. 9 Мая, 1 пер. Советский, 2 пер. Советский, 3 пер. Советский, 4 пер. Советский, пер. Ушакова, 2 пер. Горького, 1 пер. Огарева, 2 пер. Огарева
Ульяновск|перекресток ул. Жуковского и ул. Чкалова||2|ул. Чкалова, ул. Победы, ул. Ломоносова, 1 пер. Советский, 2 пер. Советский, 3 пер. Советский, 1 пер. Молодежный, 2 пер. Молодежный
Ульяновск|перекресток ул. Победы и 1-й пер. Победы (напротив дома 21)|||ул. Победы, ул. 8 Марта, ул. Чайкиной, 2 пер. Советский, 3 пер. Советский, 1 пер. Победы, 2 пер. Победы
Ульяновск|пересечение 1 пер. Мелекесский и ул. Чкалова (за церковью)|||ул. Мелекесская, 1 пер. Мелекесский, 2 пер. Мелекесский
Ульяновск|пересечение 1 ул. МТС и 2 ул. МТС||1|1 ул. МТС, 2 ул. МТС, 3 ул. МТС
Ульяновск|пересечение 3 пер. Кирова и ул. Кирова, дом 125||1|3 пер. Кирова, ул. Кирова
Ульяновск|пересечение пер. Гоголя и ул. Радищева||3|пер. Гоголя, ул. Радищева
Ульяновск|пересечение ул. 40-летия Октября и ул. 8 Марта||1|ул. 40-летия Октября, ул. 8 Марта, ул. 9 Мая
Ульяновск|пересечение ул. 40-летия Октября и ул. Панферова||2|ул. 40-летия Октября, ул. Панферова, 1 пер. 9 Мая, 2 пер. 9 Мая, 1 пер. Калининградский
Ульяновск|пересечение ул. Весенняя и 3 пер. Спортивный||1|ул. Весенняя
Ульяновск|пересечение ул. Волжская и ул. 8 Марта||2|ул. Волжская, ул. 8 Марта, ул. Мелекесская, 1 пер. Мелекесский, 2 пер. Мелекесский, 2 пер. Восточный, 4 пер. Советский, 1 пер. Победы
Ульяновск|пересечение ул. Волжская и ул. Волгоградская||2|ул. Волжская,ул. Волгоградская, ул. Ломоносова, 1 пер. Мелекесский, 3 пер. Мелекесский, 3 пер. Советский, 4 пер. Советский, пер. Добролюбова
Ульяновск|пересечение ул. Волжская и ул. Лизы Чайкиной||2|ул. Волжская, ул. Лизы Чайкиной,  ул. Мелекесская, 1 пер. Мелекесский, 2 пер. Мелекесский, 4 пер. Советский, 2 пер. Победы, пер. Великанова
Ульяновск|пересечение ул. Волжская и ул. Тельмана||2|ул. Волжская, ул. Тельмана,                ул. Марии Мусоровой, ул. Мелекес- ская, 3 пер. Советский, 4 пер. Совет- ский, пер. Партизанский,                       2 пер. Горького, 1 пер. Мелекесский,        3 пер. Мелекесский
Ульяновск|пересечение ул. Волжская и ул. Чкалова||2|ул. Волжская, ул. Чкалова, ул. Ломоносова, 2 пер. Мелекесский,       3 пер. Советский, 4 пер. Советский, пер. Сурикова
Ульяновск|пересечение ул. Врача Михайлова и ул. Котовского||1|ул. Победы, ул. Врача Михайлова, ул. Котовского, ул. Одесская, 1 пер. Советский, 1 пер. Огарева, 2 пер. Огарева
Ульяновск|пересечение ул. Димитрова и ул. Волжская||1|ул. Димитрова, ул. Волжская, ул. Мелекесская, 4 пер. Советский, 1 пер. Восточный, 1 пер. Мелекесский, 2 пер. Мелекесский
Ульяновск|пересечение ул. Димитрова и ул. Победы||4|ул. Димитрова, ул. Победы, пер. Хахарева, 2 пер. Советский, 3 пер. Советский, 1 пер. Восточный, 2 пер. Восточный
Ульяновск|пересечение ул. Ипподромная и ул. Спортивная||3|ул. Спортивная, ул. Беговая,                      ул. Ипподромная
Ульяновск|пересечение ул. Локомотивная, дом 171  и ул. Инзенская||1|ул. Локомотивная, ул. Инзенская
Ульяновск|пересечение ул. Призовая и 3-й пер. Спортивный||1|ул. Призовая
Ульяновск|пересечение ул. Семейная и ул. Восточная||2|кварталы "Г" и "Д" для многодетных семей в Заволжском р-не
Ульяновск|пересечение ул. Федерации и ул. Кролюницкого||1|ул. Федерации
Ульяновск|пересечение ул. Энтузиастов и ул. Глинки||2|ул. Энтузиастов, ул. Глинки
Ульяновск|пересечение ул. Богдана Хитрово (в районе дома 41) и ул.Отрадная ||1|ул. Богдана Хитрово
Ульяновск|пересечение улиц Стартовая и Семейная||3|ПКИЗ "Дружба-2"
Ульяновск|пл. Академика Тулайкова|42||площадь Академика Тулайкова
Ульяновск|посёлок 901 км||1|посёлок 901 км
Ульяновск|пр-д Караганова|3|3|пр-д Караганова, дома 2, 3, 4, 5, 6, 8, Московское шоссе, дом 41, ул. Полбина, дом 25, пр-кт 50-летия ВЛКСМ, дома 1, 3, 5, 11, 13
Ульяновск|пр-д Менделеева|4|5|пр-д Менделеева, дома 1, 4, 6, 8, пр-д Сиреневый, дома 2, 3, 6, 10, ул. Тельмана, дома 1, 3, 5
Ульяновск|пр-д Полбина|6|5|пр-д Полбина, дома 2, 4, 6,8
Ульяновск|пр-д Полбина|18|4|пр-д Полбина, дома 14 16, 18, пр-т 50-летия ВЛКСМ, дома 21, 23
Ульяновск|пр-кт 50-летия ВЛКСМ|2|1| 
Ульяновск|пр-кт Врача Сурова|26||пр-кт Врача Сурова, дом 26
Ульяновск|пр-кт Гая|20|2|пр-кт Гая, 20
Ульяновск|пр-кт Гая|37|2|пр-кт Гая, дом 37
Ульяновск|пр-кт Гая|39|5|пр-кт Гая, дома 39, 41
Ульяновск|пр-кт Гая|45а|2|пр-кт Гая, дом 45 А
Ульяновск|пр-кт Гая|46|1|пр-кт Гая, дом  46
Ульяновск|пр-кт Гая|87б|3|пр-кт Гая, дома 87, 87а, 87б
Ульяновск|пр-кт Генерала Тюленева|6б|3|пр-кт Генерала Тюленева, дом 6б
Ульяновск|пр-кт Зырина||1|
Ульяновск|пр-кт Зырина||2|
Ульяновск|пр-кт Маршала Устинова|16|3|пр-кт Маршала Устинова, дом 16
Ульяновск|пр-кт Маршала Устинова|18|2|пр-кт Маршала Устинова, дом 18
Ульяновск|пр-кт Маршала Устинова|20|3|пр-кт Маршала Устинова, дом 20
Ульяновск|пр-кт Маршала Устинова|22|2|пр-кт Маршала Устинова, дом 22
Ульяновск|пр-кт Нариманова|1|4|пр-кт Нариманова, дома 1, 3, 5, 7, 9 (промтоварный магазин "Кристалл-Электроцентр")
