'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "АТОМ"'|'ЖСК "АТОМ"'|'432054, Ульяновская область, Г. УЛЬЯНОВСК, УЛ. КАМЫШИНСКАЯ, д. Д.53, к. -----------------, кв. --------------'|'Ульяновская обл, г. Ульяновск, ул. Камышинская, д. 53'|'7327014357'|''
'ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "БЕЛКА"'|'ЖСК "БЕЛКА"'|'432049, ОБЛАСТЬ УЛЬЯНОВСКАЯ, ГОРОД УЛЬЯНОВСК, УЛИЦА АРТЕМА, д. 30, к. --------------, кв. ---------------'|'Ульяновская обл, г. Ульяновск, ул. Артема, д. 30'|'7327014396'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "БЕЛОМОРЕЦ"'|'ЖСК "БЕЛОМОРЕЦ"'|'432044, ОБЛАСТЬ УЛЬЯНОВСКАЯ, ГОРОД УЛЬЯНОВСК, УЛИЦА КОЛЬЦЕВАЯ, д. 38'|'Ульяновская обл, г. Ульяновск, ул. Кольцевая, д. 38'|'7326007445'|''
'ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО  ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ  КООПЕРАТИВ "БЕЛЫЕ  НОЧИ "'|'ЖСК "БЕЛЫЕ  НОЧИ "'|'432045, ОБЛ УЛЬЯНОВСКАЯ, Г УЛЬЯНОВСК, УЛ КУЗОВАТОВСКАЯ, д. 43, кв. 39'|'Ульяновская обл, г. Ульяновск, ул. Кузоватовская, д. 43'|'7327014212'|''
'ПОТРЕБИТЕЛЬСКИЙ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "БУРЕВЕСТНИК"'|'ЖСК "БУРЕВЕСТНИК"'|'432042, ОБЛАСТЬ УЛЬЯНОВСКАЯ, ГОРОД УЛЬЯНОВСК, УЛИЦА РЯБИКОВА, д. 17, к. ----------, кв. ---------'|'Ульяновская обл, г. Ульяновск, ул. Рябикова, д. 17'|'7327014445'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ВАСИЛЕК"'|'ЖСК "ВАСИЛЕК"'|'432035, ОБЛАСТЬ УЛЬЯНОВСКАЯ, Г. УЛЬЯНОВСК, УЛ. ВАРЕЙКИСА, д. Д.7'|'Ульяновская обл, г. Ульяновск, ул. Варейкиса, д. 7'|'7326007452'|''
'ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ВЕНЕРА"'|'ЖСК "ВЕНЕРА"'|'432045, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, УЛ. КУЗОВАТОВСКАЯ, д. Д.45'|'Ульяновская обл, г. Ульяновск, ул. Кузоватовская, д. 45'|'7327014220'|''
'ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ  КООПЕРАТИВ "ВЕСЕННИЙ"'|'ЖСК "ВЕСЕННИЙ"'|'432029, ОБЛАСТЬ УЛЬЯНОВСКАЯ, ГОРОД УЛЬЯНОВСК, УЛИЦА КАМЫШИНСКАЯ, д. 15, к. ---------------, кв. ---------------'|'Ульяновская обл, г. Ульяновск, ул. Камышинская, д. 15'|'7327014903'|''
'ПОТРЕБИТЕЛЬСКИЙ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "ВЕСНА"'|'ЖСК "ВЕСНА"'|'432034, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, Ш. МОСКОВСКОЕ, д. Д.59, к. -----------------------, кв. ---------------------------'|'Ульяновская обл, г. Ульяновск, ш. Московское, д. 59'|'7327016611'|''
'ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ " ВЕТЕРАН "'|'ЖСК " ВЕТЕРАН "'|'432054, ОБЛАСТЬ УЛЬЯНОВСКАЯ, ГОРОД УЛЬЯНОВСК, УЛИЦА ЕФРЕМОВА, д. 129, к. ------------------, кв. ------------'|'Ульяновская обл, г. Ульяновск, ул. Ефремова, д. 129'|'7327016650'|''
